PassengerId,Hometown,Destination,Lifeboat,Body
944,"Penzance, Cornwall, England","Akron, Ohio, US",4,
945,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",10,
946,"Paris, France",New York City,,
947,"Athlone, Westmeath, Ireland","Spokane, Washington, US",,
948,"Kricina, Croatia","Great Falls, Montana, US",,
949,"Perkins County, South Dakota, US","Perkins County, South Dakota, US",A,
950,"Liverpool, Merseyside, England","Bedford, Indiana, US",,
951,"Cooperstown, New York, US","Cooperstown, New York, US",4,
952,"Podgora, Croatia","Vancouver, British Columbia, Canada",,
953,"Sydney, New South Wales, Australia",Canada,,209MB
954,"Stockholm, Sweden",New York City,,
955,"Kingwilliamstown, Cork, Ireland","Glen Falls, New York, US",13,
956,"Cooperstown, New York, US","Cooperstown, New York, US",4,
957,"Pittsburgh, Pennsylvania, US","Pittsburgh, Pennsylvania, US",,
958,"Kilmacowen, Sligo, Ireland",New York City,,
959,"Washington, DC, US","Washington, DC, US",,
960,"Albany, New York, US","Albany, New York, US",7,
961,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",10,
962,"Athlone, Westmeath, Ireland","Providence, Rhode Island, US",15,
963,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US",,
964,"Karinainen, Finland","Aberdeen, Washington, US",,
965,"Havana, Cuba","Havana, Cuba",,189MB
966,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",4,
967,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",,45MB
968,"Greenwich, London, England",New York City,,
969,"New York, New York, US","New York, New York, US",2,
970,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US",,
971,"Bree, Wexford, Ireland",New York City,,
972,"Unknown, Lebanon","Kent, British Columbia, Canada",,
973,"New York, New York, US","New York, New York, US",,96MB
974,"Ascot, Berkshire, England, UK","Rochester, New York, US",,
975,"Unknown, Macedonia",New York City,,
976,"Glencree, Ireland[note 1]","Providence, Rhode Island, US",,
977,"Hardîne, Lebanon","Wilkes Barre, Pennsylvania, US",,
978,"New York City, New York, US",New York City,,
979,"Clevedon, North Somerset, England","Skaneateles, New York, US",C,
980,"Cum, Mayo, Ireland","Chicago, Illinois, US",,
981,"Heamoor, Cornwall, England","Akron, Ohio, US",14,
982,"New Haven, Connecticut, US","New Haven, Connecticut, US",16,
983,"Sandefjord, Norway","Seattle, Washington, US",,
984,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",3,
985,"London, England","Clinton, New York, US",,
986,"Antwerp, Belgium","San Francisco, California, US",,148MB
987,"Stockholm, Uppland, Sweden","Burlington, Iowa, US",13,
988,"London, England, UK","New York, New York, US",6,
989,"Ikaalinen, Pirkanmaa, Finland","Glassport, Pennsylvania, US",,
990,"Medeltorp, Småland, Sweden","Chicago, Illinois, US",,
991,"St Austell, Cornwall, England","Yonkers, New York, US",,
992,"Newark, New Jersey, US","Newark, New Jersey, US",5,
993,"Bromsgrove, Worcestershire, England","Montreal, Quebec, Canada",,293MB
994,"Donoughmore, Cork, Ireland",New York City,,
995,"Kvarnaryd, Småland, Sweden","New Haven, Connecticut, US",15,
996,"Hardîne, Lebanon","Wilkes Barre, Pennsylvania, US",14,
997,"Bergen, Norway",New York City,,
998,"Kingwilliamstown, Cork, Ireland",New York City,13,
999,"Ballinascreen, Tipperary, Ireland","Troy, New York, US",14,
1000,"Unknown, Russia","Chicago, Illinois, US",,
1001,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,294MB
1002,New York City,New York City,,
1003,"Cork, Cork, Ireland",New York City,?,
1004,"New York, New York, US","New York, New York, US",,
1005,"Ovens, Cork, Ireland","Roxbury, Massachusetts, US",,299MB
1006,"New York, New York, US","New York, New York, US",,
1007,"Agios Sostis, Peloponnese, Greece",New York City,,
1008,"Unknown, Unknown","Columbus, Ohio, US",,
1009,"Motala, Östergötland, Sweden","San Francisco, US",13,
1010,"Fergus, Ontario, Canada","Fergus, Ontario, Canada",A[64],331O
1011,"Liskeard, Cornwall, England","Spokane, Washington, US",,
1012,"Aberdeen, Aberdeenshire, Scotland","Portland, Oregon, US",9,
1013,"Jersey City, New Jersey, US","Jersey City, New Jersey, US",,
1014,"Hamburg, German Empire[note 2]","New York, New York, US",11,
1015,"Southampton, Hampshire, England",New York City,,
1016,"Watergate, Limerick, Ireland",New York City,15?,
1017,"Bournemouth, Dorset, England","Newark, New Jersey, US",12,
1018,"Norrköping, Östergötland, Sweden","Worcester, Massachusetts, US",,
1019,"Carrickatane, Tyrone, Ireland","Brooklyn, New York, US",16,
1020,"London, England",New York City,,
1021,"London, England",New York City,,
1022,"Arboretum, Worcestershire, England","Gloversville, New York, US",,
1023,"Washington, DC, US","Washington, DC, US",B,
1024,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US",,
1025,"Hardîne, Lebanon","Wilkes Barre, Pennsylvania, US",,
1026,"Unknown, Bulgaria","Tulsa, Oklahoma, US",,
1027,"Göteborg, Västergötland, Sweden","Huntley, Illinois, US",,
1028,"Kiğı, Turkey","Brantford, Ontario, Canada",,304MB
1029,"Newark, New Jersey, US","Newark, New Jersey, US",,
1030,"Mogilev, Belarus",New York City,13,
1031,"Fulham, England","Niagara Falls, New York, US",,
1032,"Fulham, England","Niagara Falls, New York, US",,
1033,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",8,
1034,"Cooperstown, New York, US","Cooperstown, New York, US",,
1035,"London, England, UK",New York City,,194MB
1036,"Jordanstorp, Södermanland, Sweden","New York, New York, US",,
1037,"Zwevezele, Belgium","Fremont, Ohio, US",,
1038,"Brighton, Massachusetts, US","Brighton, Massachusetts, US",,
1039,"Pontardawe, West Glamorgan, Wales","Pontiac, Michigan, US",,
1040,"Roachdale, Indiana, US","Roachdale, Indiana, US",,
1041,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US",,
1042,,,,
1043,"Gabrovo, Bulgaria","Madison, Wisconsin, US",,
1044,"Liverpool, Merseyside, England,",New York City,,261MB
1045,"Salmunds, Gotland, Sweden","Los Angeles, US",,
1046,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",,
1047,"Saint Sampson, Guernsey, Channel Islands, England","Albion, New York, US",D,
1048,"New York, New York, US","New York, New York, US",8,
1049,,,,
1050,"London, England, UK","Toronto, Ontario, Canada",,
1051,"Southampton, Hampshire, England","Elizabeth, New Jersey, US",,
1052,"Kilcogy, Cavan, Ireland",New York City,13,
1053,"Tibnin, Lebanon","Dowagiac, Michigan, US",C,
1054,"Yeovil, Somerset, England","Cottage Grove, Oregon, US",9,
1055,"London, England",New York City,,
1056,"Scheyern, Bavaria, German Empire[note 2]","St. Cloud, Minnesota, US",,
1057,"Zürich, Switzerland","Milwaukee, Wisconsin, US",2,
1058,"Omaha, Nebraska, US","Omaha, Nebraska, US",,208MB
1059,"Rotherfield, East Sussex, England","Essex County, New Jersey, US",,
1060,"New York, New York, US","New York, New York, US",5,
1061,"Stora Tuna, Sweden","Evanston, Illinois, US",C,
1062,"Edinburgh, Scotland",New York City,,
1063,"Kiğı, Turkey","Brantford, Ontario, Canada",,
1064,"New Haven, Connecticut, US","New Haven, Connecticut, US",,
1065,"Unknown, Syria",New York City,,
1066,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",,142MB
1067,"Cape Town, South Africa, UK","Seattle, Washington, US",14,
1068,"St. Ives, Cornwall, England","Hancock, Michigan, US",11,
1069,"Newark, New Jersey, US","Newark, New Jersey, US",1,
1070,"Guntur, Madras Province, British India[note 3]","Benton Harbor, Michigan, US",11,
1071,"Lakewood, New Jersey, US","Lakewood, New Jersey, US",14,
1072,"Sarnia, Ontario, Canada","Sarnia, Ontario, Canada",,
1073,"Lakewood, New Jersey, US","Lakewood, New Jersey, US",,
1074,"New York, New York, US","New York, New York, US",10,
1075,"Limerick, Limerick, Ireland",New York City,,
1076,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",6,
1077,"Weston-super-Mare, North Somerset, England","Moose Jaw, Saskatchewan, Canada",,
1078,"Ilfracombe, Devon, England","New Brighton, Pennsylvania, US",12,
1079,"West Bromwich, Staffordshire, England","Pontiac, Michigan, US",,
1080,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
1081,"Barre, Vermont, US","Barre, Vermont, US",,
1082,"Warwick, Warwickshire, England",New York City,,
1083,"New York, New York, US","New York, New York, US",1,
1084,"London, England","North Wales, Pennsylvania, US",,1{?}MB[86][87]
1085,"Chelsea, Michigan, US","Chelsea, Michigan, US",,
1086,"Greenport, New York, US","Greenport, New York, US",10,
1087,"Göteborg, Västergötland, Sweden",New York City,,
1088,"Tuxedo Park, New York, US","Tuxedo Park, New York, US",3,
1089,"Lysvik, Värmland, Sweden","Missoula, Montana, US",D,
1090,"Saint Peter Port, Guernsey, Channel Islands",New York City,,
1091,"Haugesund, Rogaland, Norway","Centerville, South Dakota, US",,
1092,"Dublin, Ireland",New York City,16,
1093,"Göteborg, Västergötland, Sweden","Stanton, Iowa, US",,
1094,"New York, New York, US","New York, New York, US",,124MB
1095,"Plymouth, Devon, England","Detroit, Michigan, US",11,
1096,"Redruth, Cornwall, England","Houghton, Michigan, US",,
1097,"Le Havre, France","New York, New York, US",7,
1098,"Terry, Mayo, Ireland","Chicago, Illinois, US",,
1099,"London, England","Port Byron, New York, US",9,
1100,"Paris, France","Cincinnati, Ohio, US",11,
1101,"Bakić, Bosnia","Harrisburg, Pennsylvania, US",,
1102,"Bergen, Norway",New York City,,260MB
1103,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",15,
1104,"Fritham, Hampshire, England, UK","Boston, Massachusetts, US",,
1105,"Swindon, Wiltshire, England","Idaho, US",,
1106,"Vadsbro, Sörmland, Sweden","Manistee, Michigan, US",,
1107,"Chelsea, London, England, UK","New York, New York, US",,
1108,"Derrymartin, Mayo, Ireland",New York City,,
1109,"Youngstown, Ohio, US","Youngstown, Ohio, US",,
1110,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",4,
1111,"Unknown, Scotland",New York City,,
1112,"Barcelona, Catalonia, Spain","Havana, Cuba",12,
1113,"London, England","Toronto, Ontario, Canada",,327MM
1114,"Oxford, Oxfordshire, England",New York City,14,
1115,"Oskarshamn, Kalmar, Sweden","Brooklyn, New York, US",13,
1116,"Washington, DC, US","Washington, DC, US",6,
1117,"Hardîne, Lebanon","Houtzdale, Pennsylvania, US",C,
1118,"Oskarshamn, Kalmar, Sweden","Minneapolis, Minnesota, US",13,
1119,"Trien, Roscommon, Ireland",New York City,,
1120,"Bristol, Avon, England","Troy, New York, US",,187MB
1121,"Devonport, Devon, England","Middletown, Connecticut, US",,
1122,"Yeovil, Somerset, England","Bernardsville, New Jersey, US",,
1123,"Duluth, Minnesota, US","Duluth, Minnesota, US",8,
1124,"Vaasa, Finland","Montreal, Quebec, Canada",,
1125,"Boherbue, Cork, Ireland",New York City,,
1126,"New York, New York, US","New York, New York, US",,
1127,"Östra Sallerup, Skåne, Sweden","St. Paul, Minnesota, US",,
1128,"Portland, Oregon, US","Portland, Oregon, US",,
1129,"Unknown, Lebanon",New York City,,
1130,"Joensuu, Finland, Russian Empire[note 6]","Detroit, Michigan, US",,
1131,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US",2,
1132,"Stockholm, Sweden","New York, New York, US",6,
1133,"London, England, UK","Montreal, Quebec, Canada",12,
1134,"Tuxedo Park, New York, US","Tuxedo Park, New York, US",3,
1135,"Manchester, England","Springfield, Massachusetts, US",C,
1136,"Thornton Heath, London, England","New London, Connecticut, US",,
1137,"Pittsburgh, Pennsylvania, US","Pittsburgh, Pennsylvania, US",,
1138,"Pittsburgh, Pennsylvania, US","Pittsburgh, Pennsylvania, US",,
1139,"Greenport, New York, US","Greenport, New York, US",,
1140,"Porthoustock, Cornwall, England","Sacramento, California, US",10,
1141,"Hardîne, Lebanon","Wilkes Barre, Pennsylvania, US",,
1142,"Bournemouth, Dorset, England","Gainesville, Florida, US",10,
1143,"Dalsbruk, Finland","Hoboken, New Jersey, US",15,
1144,"Los Angeles, California, US","Los Angeles, California, US",,
1145,"Genevad, Halland, Sweden","Red Wing, Minnesota, US",,
1146,"Vienna, Austria",New York City,,298MB
1147,"London, England","Rochester, New York, US",,
1148,"Currowhunane, Sligo, Ireland","Patterson, New Jersey, US",,
1149,"Västra Bogane, Orust Island, Sweden",New York City,,
1150,"Rochester, New York, US","Rochester, New York, US",12,
1151,"Krøkstad, Ski, Norway","Chicago, Illinois, US",15,
1152,"Tampico, Montana, US","Tampico, Montana, US",15,
1153,"Hörby, Skåne, Sweden","St. Paul, Minnesota, US",,
1154,"Heamoor, Cornwall, England","Akron, Ohio, US",14,
1155,"Grimshut, Småland, Sweden",New York City,,
1156,"Milford, New Hampshire, US","Milford, New Hampshire, US",14,
1157,"Unknown, Bulgaria","Coon Rapids, Iowa, US",,
1158,"Belfast, Ireland, UK","New York, New York, US",,
1159,"Portsmouth, Hampshire, England",New York City,,
1160,"North Walsham, Norfolk, England","Albion, Michigan, US",C,
1161,"Bukovac, Croatia","Chicago, Illinois, US",,
1162,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada",,292MB
1163,"Mullingar, Westmeath, Ireland",New York City,,
1164,"Los Angeles, California, US","Los Angeles, California, US",4,
1165,"Ballymahon, Longford, Ireland",New York City,,
1166,"Sir'Al, Lebanon",New York City,,
1167,"Skara, Västergötland, Sweden","Rockford, Illinois, US",12,
1168,"Guernsey, Channel Islands",New York City,,
1169,"Liverpool, Merseyside, England, UK","Philadelphia, Pennsylvania, US",,286MB
1170,"Bristol, Avon, England","New Britain, Connecticut, US",,
1171,"London, England","North Bergen, New Jersey, US",13,
1172,"Konjsko Brdo, Croatia","Chicago, Illinois, US",,
1173,"Southampton, Hampshire, England","Elizabeth, New Jersey, US",,
1174,"Carrowskehine, Mayo, Ireland",New York City,,
1175,"Tibnin, Lebanon","Dowagiac, Michigan, US",C,
1176,"Suistamo, Finland","Astoria, Oregon, US",,
1177,"Week St Mary, Cornwall, England","Saskatoon, Saskatchewan, Canada",,
1178,"Wellingborough, Northamptonshire, England",Canada,,
1179,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US",7,
1180,"Kiğı, Turkey","Brantford, Ontario, Canada",,
1181,"Bridgwater, Somerset, England","Elmira, New York, US",,
1182,"Paris, France","New York, New York, US",A,
1183,"Athlone, Westmeath, Ireland",New York City,15,
1184,"Tebnine, Lebanon",New York City,,
1185,"San Francisco, California, US","San Francisco, California, US",13,
1186,"Westrozebeke, Belgium","Detroit, Michigan, US",,
1187,"Terziysko, Troyan, Bulgaria","Chicago, Illinois, US",,
1188,"Paris, France","Cap-Haïtien, Haiti",14,
1189,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US",,
1190,"London, England, UK","New York, New York, US",,
1191,"Chicago, Illinois, US","Chicago, Illinois, US",,
1192,"Lunna, Orust Island, Sweden","Manitowoc, Wisconsin, US",A,
1193,"Paris, France",New York City,,
1194,"Ilfracombe, Devon, England","New Brighton, Pennsylvania, US",,
1195,"Bukovac, Croatia","Chicago, Illinois, US",,
1196,"Tipperary, Ireland","Bayonne, New Jersey, US",?,
1197,"Milwaukee, Wisconsin, US","Milwaukee, Wisconsin, US",7,
1198,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,135MB
1199,"London, England","Norfolk, Virginia, US",11,
1200,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,307M
1201,"Racine, Wisconsin, US","Racine, Wisconsin, US",11,
1202,"Široka Kula, Croatia","Chicago, Illinois, US",,
1203,"Kiğı, Turkey","Brantford, Ontario, Canada",13,
1204,"London, England","Providence, Rhode Island, US",,
1205,"Aclare, Sligo, Ireland","Hartford, Connecticut, US",,
1206,"New York, New York, US","New York, New York, US",8,
1207,"Ballysadare, Sligo, Ireland",New York City,,
1208,"New York, New York, US","New York, New York, US",,
1209,"Tavistock, Devon, England","Wilkes Barre, Pennsylvania, US",,
1210,"Tågarp, Skåne, Sweden",New York City,,
1211,"Guernsey, Channel Islands","Elizabeth, New Jersey, US",,
1212,"Hartford, Connecticut, US","Hartford, Connecticut, US",,
1213,"Kiğı, Turkey","Brantford, Ontario, Canada",10,
1214,"London, England","Boston, Massachusetts, US",,
1215,"Liverpool, Merseyside, England, UK","New York, New York, US",,109MB
1216,"St Louis, Missouri, US","St Louis, Missouri, US",2,
1217,"Buenos Aires, Argentina",New York City,,
1218,"Guntur, Madras Province, British India","Benton Harbor, Michigan, US",13,
1219,"New York, New York, US","New York, New York, US",,16MB
1220,"Netley Abbey, Hampshire, England","San Francisco, California, US",,
1221,"Göteborg, Västergötland, Sweden","Rockford, Illinois, US",,
1222,"St. Ives, Cornwall, England","Houghton, Michigan, US",14,
1223,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",,133MB
1224,"Unknown, Lebanon","Columbus, Ohio, US",,
1225,"Zgharta, Lebanon","Waterbury, Connecticut, US",C,
1226,"Kricina, Croatia","Great Falls, Montana, US",,
1227,"Brockton, Massachusetts, US","Brockton, Massachusetts, US",,
1228,"Madeira, Portugal","São Paulo, Brazil",,
1229,,,,
1230,"Guernsey, Channel Islands, UK","Elizabeth, New Jersey, US",,
1231,"Hardîne, Lebanon","Wilkes Barre, Pennsylvania, US",,
1232,"Truro, Cornwall, England, UK","Houghton, Michigan, US",,
1233,"Simrishamn, Skåne, Sweden","Los Angeles, US",15,
1234,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
1235,"Germantown, Pennsylvania, US","Germantown, Pennsylvania, US",3,
1236,"London, England","North Wales, Pennsylvania, US",,
1237,"Sondmore, Norway","Los Angeles, California, US",16,
1238,"Orange, New Jersey, US","Orange, New Jersey, US",,
1239,"Youngstown, Ohio, US","Youngstown, Ohio, US",C,
1240,"London, England",New York City,,297MB
1241,"Maidenhead, Berkshire, England","Mamaroneck, New York, US",14,
1242,"New York, New York, US","New York, New York, US",7,
1243,"London, England","Detroit, Michigan, US",,81MB
1244,"Lyndhurst, Hampshire, England","Eden, Manitoba, Canada",,
1245,"Yeovil, Somerset, England","Bernardsville, New Jersey, US",,
1246,"Bartley Farm, Hampshire, England","Wichita, Kansas, US",10,
1247,"Torquay, Devon, England, UK","San Francisco, US",,
1248,"Belmont, Massachusetts, US","Belmont, Massachusetts, US",D,
1249,"Sandhurst, Kent, England","Ontario, New York, US",,153MB
1250,"Waterford, Waterford, Ireland",New York City,B,
1251,"Helsingborg, Skåne, Sweden","Hartford, Connecticut, US",A,
1252,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,67MB
1253,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",10,
1254,"Bristol, Avon, England","New Britain, Connecticut, US",10,
1255,"Široka Kula, Croatia","Chicago, Illinois, US",,
1256,"New York, New York, US","New York, New York, US",5,
1257,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
1258,"Kfar Mechi, Syria","Ottawa, Ontario, Canada",,28MB[82]
1259,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US",,
1260,"New York, New York, US","New York, New York, US",7,
1261,"Barcelona, Catalonia, Spain","Havana, Cuba",9,
1262,"Porthleven, Cornwall, England","Camden, New Jersey, US",,
1263,"Tuxedo Park, New York, US","Tuxedo Park, New York, US",3,
1264,"Liverpool, Merseyside, England, UK","New York, New York, US",C,
1265,"Toledo, Ohio, US","Montreal, Quebec, Canada",,35MB
1266,"San Francisco, California, US","San Francisco, California, US",5,
1267,"Cooperstown, New York, US","Cooperstown, New York, US",4,
1268,"Zürich, Switzerland","Milwaukee, Wisconsin, US",,
1269,"Penzance, Cornwall, England","Akron, Ohio, US",,
1270,"Birmingham, West Midlands, England, UK","New York, New York, US",,
1271,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",,
1272,"Kingwilliamstown, Cork, Ireland",New York City,,
1273,"Broadford, Limerick, Ireland","Larchmont, New York, US",,
1274,"Durban, South Africa","Groesbeck, Texas, US",,
1275,"Salisbury, Wiltshire, England","Philadelphia, Pennsylvania, US",,53MB
1276,"Bath, Somerset, England","Asheville, North Carolina, US",,
1277,"Yeovil, Somerset, England","Bernardsville, New Jersey, US",9,
1278,"Horset, Småland, Sweden","Joliet, Illinois, US",,
1279,"West Hoboken, New Jersey, US","West Hoboken, New Jersey, US",,
1280,"Knockmaria, Mayo, Ireland","Philadelphia, Pennsylvania, US",,
1281,"Bjuv, Skåne, Sweden","Chicago, Illinois, US",,
1282,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
1283,"Paris, France","Hanover, New Hampshire, US",9,
1284,"East Providence, Rhode Island, US","East Providence, Rhode Island, US",,
1285,"Carleens, Cornwall, England","Butte, Montana, US",,
1286,"Zürich, Switzerland","Milwaukee, Wisconsin",2,
1287,"Huntington, West Virginia, US","Huntington, West Virginia, US",6,
1288,"Kilkinlea, Limerick, Ireland","Sherbrooke, Quebec, Canada",,
1289,"Zürich, Switzerland","New York, New York, US",5,
1290,"Lysvik, Värmland, Sweden","Missoula, Montana, US",,
1291,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",,
1292,"Youngstown, Ohio, US","Youngstown, Ohio, US",8,
1293,"Harrowbarrow, Cornwall, England, UK","Clear Creek, Colorado, US",,
1294,"New York, New York, US","New York, New York, US",7,
1295,"Montevideo, Uruguay","Montevideo, Uruguay",,
1296,"London, England, UK","New York, New York, US",5,
1297,"Cologne, German Empire[note 2]","New York, New York, US",7,
1298,"Gunnislake, Cornwall, England","Butte, Montana, US",,
1299,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",,
1300,"Glenlougha, Cork, Ireland",New York City,13,
1301,"Southampton, Hampshire, England","Elizabeth, New Jersey, US",,
1302,"Donoughmore, Ireland",New York City,,
1303,"Fond du Lac, Wisconsin, US","Fond du Lac, Wisconsin, US",14,
1304,"Stockholm, Sweden","Iron Mountain, Michigan, US",,3MB
1305,"London, England",New York City,,
1306,"Madrid, Spain","New York, New York, US",8,
1307,"Skaun, Sør-Trøndelag, Norway",US,,32MB
1308,"Greenwich, London, England",New York City,,
1309,"Sar'al[81], Syria","Detroit, Michigan, US",D,
